tweet_id	tweet_url	tweet_text	class_label
1221949644554588160	https://twitter.com/user/status/1221949644554588160	وأي خيانة أكبر من خيانة الدين ،، الوطن ،، الهوية ،، العقيدة ،، التاريخ .. عليسة المرأة والتي لا تمتلك مما فات شيئا قالت النار ولا العار يا أمة المليار .. #صفقة_القرن #القدس_عاصمة_فلسطين_الأبدية	No
1222030473385345028	https://twitter.com/user/status/1222030473385345028	صباح الخير على فلسطين وقدسها وشعبها ومهجرينها في المخيمات وأسراها ومبعديها ، صباح الخير لكل من يحمل في قلبه حبها وانتمائها 💛🌼 #القدس_عاصمة_فلسطين_الأبديه #تسقط_صفقة_الوهم https://t.co/jGjx9Rq28c	No
1222035929105338368	https://twitter.com/user/status/1222035929105338368	ذنبگ أنگ جميله گ يوسف وخانگ العالم گ أاخواته 💔 صباحكم فلسطيني صباح الوطن الجميل #صفقة_القرن_لن_تمر https://t.co/FEHdfHaupP	No
1222048121145962496	https://twitter.com/user/status/1222048121145962496	لا يلزمك ان تكون فلسطينياً لتحب فلسطين، حُبها لا يعرف جنسية أو هوية.. حُبها يكون بالفطرة.. شيء يشبه حُبنا لأمهاتنا بلا تفكير! ❤ #صباح_الخير 💛🇵🇸💛 #القدس_عاصمة_فلسطين_الأبدية ⁦✌️⁩ https://t.co/gUPpBAGGPy	No
1222053294266372096	https://twitter.com/user/status/1222053294266372096	#مناصرون رحل البروفسور زيك فريد فوغل . رئيس قسم جراحة الأعصاب في مستشفى مايو كلينك - برلين. من أفضل ٥ جراحين الأعصاب على مستوى العالم . عمل ٤٥٠ عمليه سرطان دماغ في فلسطين ، والاف عمليات العمود الفقري وهو يلفظ انفاسه قال قولوا للفلسطينيين سوف تنتصرون." #صفقة_القرن_لن_تمر https://t.co/EtK2eJ4K1T	No
1222060764216938496	https://twitter.com/user/status/1222060764216938496	#صفقة_القرن يستخدمها ترمب لحماية نفسه من العزل والبقاء في الحكم، ويستغلها #نتنياهو للهروب من شبح السجن رغم علمه بصعوبة تنفيذها.. والعرب كالعادة في سبات عميق #صفقة_القرن_لن_تمر	No
1222084357244014593	https://twitter.com/user/status/1222084357244014593	لن نتخلى عن فلسطين✌️ ولا عن شعب فلسطين ولا عن مقدسات الأمة في فلسطين✌️ #صفقة_القرن_لن_تمر #فلسطين_عربية #حزب_الله https://t.co/fDS8C8JNjU	No
1222099768735870976	https://twitter.com/user/status/1222099768735870976	يعملوا صفقات قرن ولا مايعملوا القدس لنا وحسبي الله ونعم الوكيل فيهم حكام العرب #القدس_عاصمة_فلسطين_الأبدية ✌🇵🇸	No
1222102265101799425	https://twitter.com/user/status/1222102265101799425	يـا قدسُ وردُ الشـوقِ بـاح وشدّنـي • • • وطـمعْتُ فـي نـيل الغرام فصدّنـي ..⁦❤️⁩ #القدس_عاصمة_فلسطين_الأبدية #القدس #المسجد_الأقصى https://t.co/ZE4ulCBzSu	No
1222103938033487878	https://twitter.com/user/status/1222103938033487878	خطة #ترمب للتسوية، المعروفة بـ #صفقة_القرن، ليست سوى نتيجة لسلسلة من التنازلات عن حقوق الفلسطينيين والأمة قدّمتها القيادات الفلسطينية والأنظمة العربية. الشعوب ما زالت مغيّبة، ولن يطول الزمن حتى تقول كلمتها، فترمي كل الصفقات و "المبادرات" في سلّة مهملات التاريخ. #صفقة_القرن_لن_تمر https://t.co/yZnAEnUXZW	No
